Mycobacterium_tuberculosis_H37Rv.txt	M_avium_5000.txt	M_leprae_5000.txt	M_marinum_5000.txt	M_smegmatis_5000.txt
NP_215285.1	WP_009974886.1	0	0	0
NP_215289.1	0	0	WP_011742382.1	WP_003896181.1
NP_215290.1	WP_009974898.1	0	0	0
NP_215291.1	WP_009974899.1	0	0	0
NP_215292.1	WP_009974900.1	0	0	0
NP_215293.1	WP_009974901.1	0	0	0
NP_215294.1	WP_009974902.1	0	0	0
NP_215297.1	WP_003875780.1	0	0	0
NP_215299.1	WP_008257450.1	0	0	0
NP_215300.2	WP_009974914.1	0	0	0
NP_215306.1	0	0	WP_012392953.1	0
NP_215307.1	0	0	0	WP_003891498.1
NP_215313.1	WP_003875791.1	0	0	0
NP_215316.1	WP_003875793.1	0	0	0
NP_215323.1	WP_003875798.1	0	0	0
NP_215324.1	WP_003877203.1	0	0	0
NP_215325.1	WP_003875800.1	0	WP_011738758.1	0
NP_215328.1	WP_009974934.1	0	0	0
NP_215329.1	WP_003877205.1	0	WP_011738766.1	0
NP_215330.1	WP_003875806.1,WP_003878966.1	WP_010907892.1	WP_012393127.1	WP_003893199.1
NP_215333.1	WP_003875810.1	0	0	0
NP_215335.1	WP_003875815.1	0	WP_011738774.1	0
NP_215336.1	WP_003875816.1	0	WP_012393107.1	0
NP_215340.1	0	0	WP_011738778.1	0
NP_215342.1	0	0	WP_011738780.1	0
NP_215345.1	0	0	WP_012392338.1,WP_012392340.1,WP_012392874.1,WP_012393429.1	0
NP_215359.1	WP_003873049.1	WP_010907933.1	WP_012393191.1	0
NP_215362.1	WP_008257502.1	0	0	0
NP_215364.1	WP_008257507.1	0	0	0
NP_215367.2	0	0	0	WP_003895016.1
NP_215368.1	0	WP_010907682.1	0	0
NP_215374.1	WP_009974781.1,WP_009975099.1	0	0	WP_003894393.1
NP_215380.1	WP_008254072.1	0	WP_011738645.1	0
NP_215381.1	0	0	WP_011738644.1	0
NP_215382.1	0	WP_010907623.1	0	WP_003896019.1
NP_215383.1	WP_009975122.1	0	0	0
NP_215384.1	WP_009975123.1	0	0	0
NP_215385.1	WP_009975124.1	0	WP_011738640.1	0
NP_215386.1	WP_003419650.1,WP_003872914.1	WP_007166602.1	WP_007166602.1	WP_003891980.1
NP_215392.1	0	0	WP_011738633.1	0
NP_215394.1	WP_003877344.1	0	0	0
NP_215395.1	WP_009975136.1	0	0	0
NP_215400.1	WP_009975141.1	0	0	0
NP_215401.1	0	WP_010907864.1	0	0
NP_215402.1	WP_003872898.1	0	0	0
NP_215404.1	WP_003872897.1	0	0	0
NP_215405.1	WP_003874670.1	WP_010908523.1	WP_011740390.1,WP_012393191.1	WP_003896375.1,WP_003896645.1
NP_215406.1	0	WP_010908523.1	0	0
NP_215408.1	0	0	WP_012392338.1,WP_012392340.1,WP_012392874.1	0
NP_215409.1	0	WP_010908523.1	0	0
NP_215410.1	WP_009974325.1,WP_009974576.1	0	0	0
NP_215411.1	WP_003872895.1	0	0	0
NP_215413.1	WP_003872893.1	0	WP_011738616.1	0
NP_215417.1	0	0	0	WP_003891586.1,WP_003894180.1
NP_215418.1	WP_003872811.1,WP_003873718.1,WP_003875752.1,WP_003875810.1,WP_003876976.1,WP_007168097.1,WP_008257471.1,WP_009975275.1	WP_010907575.1,WP_010907921.1	WP_011742113.1,WP_011742162.1	WP_003891585.1
NP_215419.1	WP_003877357.1	0	0	0
NP_215420.1	WP_009975158.1	0	WP_011738605.1	0
NP_215424.1	0	0	WP_011738542.1	0
NP_215425.1	WP_003872880.1	0	0	0
NP_215441.1	0	0	WP_012392365.1	WP_003894968.1
NP_215444.1	WP_009974940.1,WP_009975178.1	0	0	0
NP_215445.2	WP_009974941.1	0	0	0
NP_215448.1	WP_003875815.1,WP_003876090.1,WP_009974853.1	0	WP_011738774.1,WP_012392066.1	0
NP_215452.1	WP_009975180.1	0	0	0
NP_215455.1	WP_003872844.1	0	0	0
NP_215460.1	0	WP_010907554.1	0	0
NP_215461.1	0	WP_010907561.1	0	0
NP_215463.1	0	WP_010907562.1	WP_011742005.1	0
NP_215465.1	0	WP_010907565.1	0	0
NP_215466.1	0	WP_010907566.1	0	0
NP_215467.1	WP_003872831.1	WP_010907567.1	0	0
NP_215469.1	WP_003877490.1	0	0	0
NP_215470.1	0	WP_010907569.1	0	0
NP_215471.1	WP_003872825.1	WP_010907570.1	0	0
NP_215472.1	0	WP_010907571.1	0	0
NP_215473.1	0	0	WP_011742238.1	0
NP_215480.1	0	0	WP_011740170.1	0
NP_215481.2	WP_003877494.1	WP_010907573.1	0	WP_003892281.1
NP_215482.1	WP_003874104.1	0	WP_011739296.1	0
NP_215483.1	0	WP_010907903.1	WP_011740561.1	0
NP_215484.3	WP_008257498.1	0	WP_012392258.1	0
NP_215488.1	0	0	WP_012393559.1	0
NP_215496.2	WP_003872811.1,WP_003875752.1,WP_003876976.1,WP_007168097.1,WP_008257471.1,WP_009975275.1	WP_010907575.1,WP_010907921.1	WP_011742162.1	WP_003891585.1
NP_215497.1	0	WP_010907576.1	0	0
NP_215498.1	0	0	0	WP_003896478.1
NP_215499.1	WP_008254072.1	0	WP_011738645.1	0
NP_215500.1	WP_003872807.1	WP_010907579.1	WP_011742224.1	0
NP_215501.1	WP_003874851.1	WP_010907866.1	WP_011740377.1	WP_003893458.1,WP_003894440.1,WP_003894626.1,WP_003896064.1,WP_003896717.1
NP_215504.1	0	0	WP_011738953.1	0
NP_215506.1	WP_003872805.1	WP_010907580.1	WP_011742222.1	0
NP_215507.1	0	WP_010907581.1	0	0
NP_215508.1	WP_003877502.1	WP_010907582.1	0	0
NP_215510.1	WP_009975246.1	0	0	0
NP_215511.1	0	WP_010907585.1	0	0
NP_215519.1	WP_003872782.1	WP_010907590.1	0	0
NP_215521.1	0	WP_010907620.1	0	0
